FIELD,index,SPLUS_F378,SPLUS_F395,SPLUS_F410,SPLUS_F430,SPLUS_F515,SPLUS_F660,SPLUS_F861,SPLUS_G,SPLUS_I,SPLUS_R,SPLUS_U,SPLUS_Z
"SPLUS-n03s23",121,20.14,20.079,21.091,21.181,21.503,21.112,21.656,23.541,23.375,23.586,20.908,22.784
"SPLUS-n03s24",122,20.135,20.056,21.118,21.199,21.513,21.114,21.66,23.55,23.38,23.592,20.945,22.795
"SPLUS-n03s25",123,20.117,20.057,21.098,21.191,21.486,21.098,21.632,23.542,23.355,23.572,20.884,22.773
"SPLUS-n03s26",124,20.089,19.997,21.053,21.132,21.45,21.072,21.615,23.487,23.333,23.546,20.859,22.751
"SPLUS-n03s27",125,20.127,20.015,21.065,21.162,21.473,21.105,21.643,23.517,23.369,23.572,20.871,22.782
"SPLUS-n03s28",126,20.091,20.003,21.068,21.156,21.453,21.077,21.612,23.505,23.329,23.549,20.869,22.73
"SPLUS-n03s43",127,20.156,20.085,21.105,21.208,21.537,21.129,21.669,23.557,23.395,23.606,20.943,22.821
"SPLUS-n03s44",128,20.057,19.954,21.013,21.122,21.484,21.096,21.646,23.491,23.374,23.569,20.799,22.807
"SPLUS-n03n01",129,20.079,20.015,21.074,21.183,21.505,21.15,21.681,23.56,23.413,23.614,20.843,22.842
"SPLUS-n04s41",130,20.031,19.916,20.972,21.087,21.449,21.103,21.665,23.468,23.395,23.569,20.802,22.829
"SPLUS-n04s42",131,20.023,19.942,21.0,21.106,21.468,21.109,21.67,23.495,23.375,23.584,20.795,22.791
"SPLUS-n04s43",132,20.033,19.922,20.985,21.094,21.446,21.099,21.656,23.478,23.374,23.563,20.805,22.801
"SPLUS-n04s44",133,20.053,19.956,21.013,21.114,21.476,21.103,21.651,23.504,23.387,23.574,20.825,22.804
"SPLUS-n04n01",134,20.006,19.827,20.996,21.039,21.291,20.972,21.624,23.37,23.356,23.481,20.767,22.697
"SPLUS-n05s01",135,20.126,20.06,21.092,21.193,21.472,21.096,21.63,23.53,23.356,23.569,20.904,22.795
"SPLUS-n05s02",136,20.078,20.037,21.081,21.181,21.48,21.111,21.654,23.521,23.372,23.581,20.803,22.782
"SPLUS-n05s03",137,20.151,20.079,21.138,21.232,21.516,21.137,21.667,23.57,23.394,23.607,20.938,22.82
"SPLUS-n05s43",138,20.048,19.799,20.815,20.792,21.139,21.05,21.651,23.361,23.271,23.411,20.813,22.717
"SPLUS-n05s44",139,20.09,19.973,21.036,21.136,21.483,21.094,21.652,23.496,23.372,23.57,20.857,22.787
"SPLUS-n05s45",140,20.251,20.15,21.224,21.335,21.63,21.181,21.7,23.665,23.438,23.655,21.014,22.862
"SPLUS-n05n50",141,20.107,20.005,21.048,21.144,21.489,21.131,21.681,23.529,23.408,23.595,20.876,22.833
"SPLUS-n05n53",142,20.033,19.927,20.973,21.067,21.448,21.105,21.662,23.479,23.388,23.573,20.808,22.814
"SPLUS-n05n55",143,20.033,19.942,20.992,21.109,21.473,21.123,21.668,23.505,23.413,23.581,20.82,22.878
"SPLUS-n06s01",144,20.107,20.057,21.101,21.202,21.506,21.134,21.673,23.562,23.396,23.604,20.841,22.817
"SPLUS-n06s02",145,20.009,19.947,20.999,21.089,21.397,21.102,21.64,23.45,23.357,23.545,20.751,22.791
"SPLUS-n06s03",146,20.063,20.025,21.053,21.155,21.451,21.081,21.626,23.509,23.35,23.548,20.84,22.773
"SPLUS-n06s40",147,20.05,19.936,20.986,21.079,21.449,21.112,21.659,23.473,23.411,23.585,20.823,22.852
"SPLUS-n06s41",148,20.052,19.926,21.008,21.109,21.449,21.06,21.539,23.471,23.371,23.548,20.833,22.828
"SPLUS-n06s42",149,20.12,20.013,21.06,21.166,21.503,21.114,21.666,23.535,23.386,23.591,20.903,22.813
"SPLUS-n06s43",150,20.1,19.981,21.048,21.149,21.489,21.116,21.659,23.519,23.378,23.588,20.874,22.812
"SPLUS-n06s44",151,20.066,19.958,21.003,21.085,21.42,21.085,21.649,23.441,23.365,23.547,20.809,22.774
"SPLUS-n06s45",152,20.091,19.987,21.036,21.132,21.482,21.12,21.686,23.51,23.413,23.599,20.853,22.87
"SPLUS-n07s01",153,20.078,20.03,21.068,21.184,21.468,21.107,21.625,23.523,23.353,23.558,20.798,22.778
"SPLUS-n07s02",154,20.025,20.012,21.06,21.176,21.488,21.118,21.653,23.545,23.375,23.574,20.738,22.78
"SPLUS-n07s03",155,20.124,20.1,21.127,21.237,21.5,21.107,21.633,23.572,23.371,23.581,20.91,22.798
"SPLUS-n07s38",156,20.096,19.981,21.023,21.096,21.447,21.115,21.669,23.486,23.418,23.595,20.883,22.863
"SPLUS-n07s39",157,20.128,20.035,21.089,21.183,21.514,21.13,21.675,23.553,23.415,23.61,20.924,22.869
"SPLUS-n07s40",158,20.127,20.036,21.137,21.209,21.528,21.133,21.674,23.56,23.391,23.608,20.872,22.821
"SPLUS-n07s41",159,20.111,20.016,21.084,21.182,21.528,21.14,21.678,23.548,23.409,23.616,20.901,22.83
"SPLUS-n07s42",160,20.146,20.106,21.133,21.236,21.538,21.142,21.672,23.57,23.406,23.62,20.929,22.828
"SPLUS-n07s43",161,20.147,20.035,21.085,21.174,21.505,21.133,21.682,23.535,23.404,23.606,20.93,22.828
